season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean
1979,76,James Edwards,C,23,IND,82,0,31.0,6.5,13.0,0.501,0.0,0.0,0.0,6.5,13.0,0.501,0.501,3.6,5.4,0.676,2.2,6.3,8.5,1.1,0.7,1.3,2.0,4.4,16.7,2546,16.9,0.542,0.0,0.414,7.2,20.8,14.0,5.2,1.1,2.2,11.4,21.8,3.9,3.2,7.1,-0.4,-0.4,-0.8,0.8,1,0.133,13.3684210526,3.14736842105
1979,78,Bo Ellis,PF,24,DEN,42,0,6.4,1.0,2.2,0.457,0.0,0.0,0.0,1.0,2.2,0.457,0.457,0.7,0.9,0.806,0.4,1.1,1.5,0.2,0.2,0.3,0.5,1.1,2.7,269,12.2,0.524,0.0,0.391,6.7,17.3,12.0,5.0,1.7,2.5,16.9,18.6,0.1,0.4,0.5,-3.6,-0.4,-4.0,-0.1,1,0.09,11.1333333333,0.833333333333
1979,86,Bayard Forrest,C,24,PHO,75,0,16.6,1.6,3.6,0.434,0.0,0.0,0.0,1.6,3.6,0.434,0.434,0.8,1.5,0.539,1.5,2.7,4.2,2.2,0.4,0.5,1.4,2.0,4.0,1243,9.6,0.462,0.0,0.423,10.0,18.0,14.1,15.3,1.0,1.5,24.9,13.3,-0.2,1.5,1.2,-2.6,1.5,-1.1,0.3,1,0.048,10.9,1.3
1979,96,Mike Glenn,SG,23,NYK,75,0,15.6,3.5,6.5,0.541,0.0,0.0,0.0,3.5,6.5,0.541,0.541,0.8,0.8,0.905,0.4,0.7,1.1,1.8,0.5,0.1,0.9,1.5,7.8,1171,15.5,0.567,0.0,0.13,2.6,5.0,3.8,16.5,1.4,0.3,11.1,19.3,2.4,0.5,2.8,0.6,-2.8,-2.2,-0.1,1,0.117,14.53,2.53
1979,97,Glen Gondrezick,SF,23,NYK,75,0,21.4,2.1,4.3,0.494,0.0,0.0,0.0,2.1,4.3,0.494,0.494,0.7,1.3,0.567,2.0,3.7,5.7,1.4,1.3,0.2,1.3,3.0,5.0,1602,11.0,0.511,0.0,0.298,9.8,18.7,14.3,8.0,2.8,0.6,20.5,11.4,0.6,2.1,2.7,-1.4,2.3,0.9,1.2,1,0.082,13.75,2.65
1979,100,Rickey Green,PG,24,DET,27,0,16.0,2.5,6.6,0.379,0.0,0.0,0.0,2.5,6.6,0.379,0.379,1.7,2.5,0.672,0.6,0.9,1.5,2.3,0.9,0.0,1.6,1.4,6.6,431,10.2,0.433,0.0,0.379,3.5,6.2,4.8,18.7,2.6,0.1,17.6,22.1,-0.4,0.3,-0.1,-3.4,-1.3,-4.7,-0.3,1,-0.012,14.0428571429,3.37142857143
1979,106,Ernie Grunfeld,SF,23,MIL,82,0,21.7,4.0,8.1,0.493,0.0,0.0,0.0,4.0,8.1,0.493,0.493,2.3,3.1,0.761,1.5,2.9,4.4,2.6,0.7,0.2,1.7,2.7,10.3,1778,15.2,0.546,0.0,0.38,7.7,14.7,11.2,15.2,1.5,0.4,15.5,19.9,2.8,1.6,4.3,0.7,-0.3,0.5,1.1,1,0.117,12.4444444444,2.76666666667
1979,109,Joe Hassett,SG,23,SEA,55,0,8.4,1.8,3.8,0.474,0.0,0.0,0.0,1.8,3.8,0.474,0.474,0.4,0.4,1.0,0.2,0.6,0.8,0.8,0.3,0.1,0.6,1.1,4.1,463,12.3,0.504,0.0,0.109,2.9,7.3,5.1,13.5,1.4,0.5,12.6,21.4,0.3,0.5,0.9,-2.0,-1.8,-3.8,-0.2,1,0.089,12.05,1.06666666667
1979,133,Eddie Lee Johnson,SG,23,ATL,78,0,30.9,6.4,12.6,0.51,0.0,0.0,0.0,6.4,12.6,0.51,0.51,3.1,3.7,0.832,0.8,1.3,2.2,4.6,1.6,0.1,2.7,3.1,16.0,2413,16.7,0.561,0.0,0.297,2.8,4.9,3.8,22.1,2.3,0.3,16.1,21.7,4.4,1.9,6.3,2.2,-1.2,1.0,1.8,1,0.126,15.84,4.44
1979,137,Marques Johnson,SF,22,MIL,77,0,36.1,10.6,19.4,0.55,0.0,0.0,0.0,10.6,19.4,0.55,0.55,4.3,5.7,0.76,2.8,4.9,7.6,3.0,1.5,1.2,2.2,2.4,25.6,2779,23.9,0.586,0.0,0.293,8.4,14.9,11.7,12.3,1.9,1.7,9.2,25.9,9.2,3.0,12.2,5.1,0.2,5.3,5.1,1,0.211,18.4909090909,7.24545454545
1979,143,Eddie Jordan,PG,24,NJN,82,0,27.6,4.9,11.7,0.418,0.0,0.0,0.0,4.9,11.7,0.418,0.418,2.6,3.3,0.777,0.9,1.7,2.6,4.5,2.5,0.5,3.0,2.5,12.4,2260,13.8,0.47,0.0,0.285,3.3,6.8,5.0,23.1,3.9,1.0,18.4,22.0,-0.9,3.3,2.4,-1.4,1.0,-0.4,0.9,1,0.051,11.2857142857,1.25714285714
1979,147,Bernard King,SF,22,NJN,82,0,34.9,8.7,16.6,0.522,0.0,0.0,0.0,8.7,16.6,0.522,0.522,4.3,7.5,0.564,3.1,5.1,8.2,3.6,1.4,0.5,3.9,4.0,21.6,2859,17.9,0.542,0.0,0.455,8.9,16.0,12.3,16.4,1.8,0.7,16.5,25.6,2.8,3.6,6.5,2.0,0.4,2.4,3.2,1,0.109,18.4642857143,5.37142857143
1979,149,Toby Knight,SF,23,NYK,82,0,32.5,7.4,14.3,0.519,0.0,0.0,0.0,7.4,14.3,0.519,0.519,1.8,2.5,0.704,2.5,4.2,6.7,1.5,0.7,0.7,2.0,3.8,16.6,2667,15.3,0.539,0.0,0.175,8.1,14.1,11.1,6.6,1.0,1.2,11.4,21.0,3.7,2.0,5.7,0.5,-1.0,-0.5,1.0,1,0.102,14.225,3.925
1979,151,John Kuester,PG,23,DEN,33,0,6.4,0.5,1.6,0.308,0.0,0.0,0.0,0.5,1.6,0.308,0.308,0.4,0.4,0.929,0.2,0.2,0.4,1.1,0.5,0.0,0.6,0.9,1.4,212,6.9,0.387,0.0,0.269,2.5,3.9,3.2,21.4,3.8,0.2,25.6,14.2,-0.3,0.3,0.0,-5.2,-0.5,-5.7,-0.2,1,0.0,10.0666666667,0.666666666667
