season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean,PER_cond,WS_cond,PER_bin,WS_bin
1978,60,Wesley Cox,SF,23,GSW,43,0,10.5,1.6,4.0,0.399,0.0,0.0,0.0,1.6,4.0,0.399,0.399,1.3,2.3,0.58,1.0,2.3,3.3,0.3,0.5,0.2,0.8,1.9,4.6,453,11.7,0.452,0.0,0.578,9.2,23.1,16.0,3.5,2.1,1.2,14.2,21.9,-0.2,0.8,0.6,-4.6,-1.3,-5.9,-0.5,0,0.062,8.5,0.05,False,False,0,0
1978,61,Charlie Criss,PG,29,ATL,77,0,25.1,4.1,9.8,0.425,0.0,0.0,0.0,4.1,9.8,0.425,0.425,3.1,3.8,0.797,0.3,1.3,1.6,3.8,1.4,0.1,1.9,1.9,11.4,1935,14.8,0.496,0.0,0.394,1.3,5.6,3.4,22.5,2.6,0.2,14.5,21.4,1.9,1.8,3.7,-0.3,-1.5,-1.8,0.1,0,0.092,11.7375,1.7125,False,False,0,0
1978,62,Mark Crow,SF,23,NJN,15,0,10.3,2.3,5.3,0.438,0.0,0.0,0.0,2.3,5.3,0.438,0.438,0.9,1.3,0.7,0.9,0.9,1.8,0.5,0.3,0.1,0.8,1.6,5.6,154,12.8,0.473,0.0,0.25,8.4,8.6,8.5,7.8,1.4,0.3,11.9,24.1,0.1,0.1,0.2,-1.6,-2.8,-4.4,-0.1,0,0.051,12.8,0.2,False,False,0,0
1978,66,Brad Davis,PG,22,LAL,33,0,10.1,0.9,2.2,0.417,0.0,0.0,0.0,0.9,2.2,0.417,0.417,0.7,0.9,0.759,0.1,0.9,1.1,2.5,0.5,0.1,1.1,1.2,2.5,334,10.5,0.484,0.0,0.403,1.3,9.2,5.4,29.1,2.0,0.3,29.2,14.0,0.0,0.3,0.3,-3.5,-1.5,-5.1,-0.3,0,0.041,13.6733333333,3.56,False,False,0,0
1978,68,Walter Davis,SF,23,PHO,81,0,32.0,9.7,18.4,0.526,0.0,0.0,0.0,9.7,18.4,0.526,0.526,4.8,5.8,0.83,2.0,4.0,6.0,3.4,1.4,0.2,3.5,3.0,24.2,2590,22.1,0.577,0.0,0.312,6.2,13.2,9.6,16.5,1.9,0.4,14.3,28.5,6.7,3.4,10.1,3.8,-0.5,3.3,3.5,0,0.187,18.5266666667,5.12666666667,False,False,0,0
1978,73,Jacky Dorsey,SF,23,TOT,11,0,8.0,1.1,2.8,0.387,0.0,0.0,0.0,1.1,2.8,0.387,0.387,0.9,1.5,0.625,1.0,1.7,2.7,0.5,0.2,0.3,0.5,1.5,3.1,88,12.2,0.447,0.0,0.516,13.3,21.5,17.6,7.5,1.0,1.8,13.6,19.5,0.0,0.1,0.2,-2.7,-1.2,-3.9,0.0,0,0.092,10.0333333333,0.1,False,False,0,0
1978,78,T.R. Dunn,SG,22,POR,63,0,12.2,1.6,3.8,0.417,0.0,0.0,0.0,1.6,3.8,0.417,0.417,0.6,0.9,0.661,1.0,1.3,2.3,0.7,0.7,0.1,0.6,1.2,3.8,768,11.7,0.448,0.0,0.233,8.7,11.1,10.0,7.6,2.8,0.6,11.7,15.4,0.4,1.2,1.6,-1.2,1.1,-0.1,0.4,0,0.099,10.2285714286,2.85,False,False,0,0
1978,81,James Edwards,C,22,TOT,83,0,29.0,6.0,13.2,0.453,0.0,0.0,0.0,6.0,13.2,0.453,0.453,3.3,5.1,0.646,2.4,5.0,7.4,1.0,0.6,0.9,2.0,3.9,15.2,2405,14.7,0.494,0.0,0.385,8.0,17.3,12.6,5.1,1.0,1.7,11.7,22.9,2.1,2.3,4.5,-1.3,-1.6,-3.0,-0.6,0,0.089,13.3684210526,3.14736842105,False,False,0,0
1978,82,Bo Ellis,PF,23,DEN,78,0,15.6,1.7,4.1,0.416,0.0,0.0,0.0,1.7,4.1,0.416,0.416,0.9,1.3,0.692,1.5,2.4,3.9,0.9,0.6,0.6,1.3,2.7,4.3,1213,9.1,0.462,0.0,0.325,10.0,15.5,12.9,7.7,1.8,2.0,21.3,14.6,-0.3,1.4,1.1,-2.9,0.8,-2.1,0.0,0,0.044,11.1333333333,0.833333333333,False,False,0,0
1978,86,Al Fleming,SF,23,SEA,20,0,4.9,0.8,1.6,0.484,0.0,0.0,0.0,0.8,1.6,0.484,0.484,0.5,0.9,0.588,0.7,0.9,1.5,0.4,0.0,0.3,0.8,0.8,2.0,97,10.7,0.52,0.0,0.548,13.1,18.6,15.7,10.1,0.0,2.8,29.4,21.4,-0.1,0.1,0.0,-4.2,-0.3,-4.5,-0.1,0,0.018,10.7,0.0,False,False,0,0
1978,90,Bayard Forrest,C,23,PHO,64,0,13.9,1.7,3.7,0.466,0.0,0.0,0.0,1.7,3.7,0.466,0.466,0.8,1.6,0.476,1.3,2.6,3.9,2.0,0.4,0.5,1.3,1.6,4.2,887,12.2,0.478,0.0,0.433,9.6,19.6,14.5,17.8,1.1,2.0,22.9,15.4,0.1,1.3,1.4,-2.3,1.8,-0.5,0.3,0,0.077,10.9,1.3,False,False,0,0
1978,99,Mike Glenn,SG,22,BUF,56,0,16.9,3.5,6.6,0.527,0.0,0.0,0.0,3.5,6.6,0.527,0.527,0.9,1.2,0.785,0.3,1.2,1.4,1.4,0.6,0.1,0.9,1.8,7.9,947,14.3,0.553,0.0,0.176,1.6,7.3,4.5,12.6,1.7,0.3,11.1,18.9,1.5,0.4,1.9,0.0,-2.2,-2.3,-0.1,0,0.096,14.53,2.53,False,False,0,0
1978,100,Glen Gondrezick,SF,22,NYK,72,0,14.1,1.8,4.7,0.386,0.0,0.0,0.0,1.8,4.7,0.386,0.386,1.2,1.7,0.686,1.3,2.2,3.5,1.2,0.8,0.3,1.1,2.5,4.8,1017,10.1,0.44,0.0,0.357,9.5,15.8,12.7,9.9,2.4,0.9,17.3,17.7,-0.2,1.1,0.9,-2.5,0.3,-2.2,0.0,0,0.044,13.75,2.65,False,False,0,0
1978,103,Rickey Green,PG,23,GSW,76,0,14.4,1.9,4.9,0.381,0.0,0.0,0.0,1.9,4.9,0.381,0.381,0.7,1.2,0.6,0.6,0.9,1.5,2.0,0.8,0.0,1.0,1.3,4.5,1098,9.3,0.41,0.0,0.24,4.4,6.3,5.4,17.6,2.4,0.0,16.0,17.6,-0.7,1.1,0.3,-3.1,-0.6,-3.8,-0.5,0,0.014,14.0428571429,3.37142857143,False,False,0,0
1978,106,Greg Griffin,SF,25,PHO,36,0,11.7,1.7,4.7,0.361,0.0,0.0,0.0,1.7,4.7,0.361,0.361,0.6,1.0,0.639,1.2,1.6,2.9,0.7,0.4,0.0,1.1,1.6,4.0,422,6.8,0.392,0.0,0.213,10.6,14.6,12.6,7.1,1.6,0.0,17.4,19.7,-0.6,0.5,-0.1,-4.9,-1.0,-5.9,-0.4,0,-0.011,6.8,-0.1,False,False,0,0
1978,109,Ernie Grunfeld,SG,22,MIL,73,0,17.3,2.8,6.3,0.443,0.0,0.0,0.0,2.8,6.3,0.443,0.443,1.3,2.0,0.657,1.0,1.7,2.7,2.0,0.7,0.3,1.3,2.1,6.9,1261,12.0,0.479,0.0,0.31,5.8,10.6,8.1,14.6,1.9,0.8,15.8,18.7,0.6,0.9,1.4,-1.3,-0.8,-2.1,0.0,0,0.055,12.4444444444,2.76666666667,False,False,0,0
