season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean
1980,102,Mike Glenn,SG,24,NYK,75,0,10.7,2.5,4.9,0.516,0.0,0.1,0.2,2.5,4.7,0.525,0.519,0.8,1.0,0.863,0.3,0.6,0.9,1.1,0.5,0.1,0.5,1.1,5.9,800,16.6,0.557,0.027,0.201,2.8,6.2,4.5,14.6,2.0,0.5,8.8,20.9,1.8,0.3,2.1,0.5,-3.1,-2.5,-0.1,2,0.126,14.53,2.53
1980,103,Glen Gondrezick,SF,24,DEN,59,0,17.3,2.5,4.8,0.517,0.0,0.1,0.333,2.5,4.7,0.521,0.521,1.6,2.1,0.76,1.8,2.6,4.4,1.4,1.2,0.3,1.0,2.0,6.6,1020,16.7,0.575,0.021,0.423,10.7,15.9,13.2,10.9,3.1,0.8,14.6,15.3,1.9,1.2,3.1,1.0,1.2,2.2,1.1,2,0.145,13.75,2.65
1980,109,Ernie Grunfeld,SF,24,KCK,80,0,17.5,2.3,5.3,0.443,0.0,0.0,0.5,2.3,5.2,0.443,0.444,1.3,1.6,0.771,1.1,1.8,2.9,1.4,0.7,0.1,1.0,1.9,5.9,1397,10.9,0.496,0.005,0.312,6.4,11.5,8.9,10.1,1.9,0.4,14.5,16.0,0.6,1.9,2.5,-1.9,1.0,-0.9,0.4,2,0.087,12.4444444444,2.76666666667
1980,112,Joe Hassett,SG,24,IND,74,0,15.3,2.9,6.9,0.422,0.9,2.7,0.348,2.0,4.2,0.469,0.49,0.3,0.4,0.828,0.5,0.8,1.3,1.4,0.6,0.1,0.6,1.1,7.1,1135,13.0,0.501,0.389,0.057,3.1,5.5,4.3,12.6,1.9,0.4,7.9,19.4,1.4,0.6,2.0,0.7,-3.2,-2.5,-0.1,2,0.085,12.05,1.06666666667
1980,133,Eddie Lee Johnson,SG,24,ATL,79,0,33.2,7.5,15.3,0.487,0.1,0.2,0.385,7.4,15.2,0.488,0.489,3.5,4.3,0.828,1.2,1.3,2.5,4.7,1.5,0.3,2.4,2.7,18.5,2622,18.0,0.538,0.011,0.279,3.9,4.3,4.1,23.5,2.2,0.5,12.2,24.1,5.4,2.7,8.2,2.9,-0.7,2.2,2.8,2,0.15,15.84,4.44
1980,138,Marques Johnson,SF,23,MIL,77,0,34.9,8.9,16.5,0.544,0.0,0.1,0.222,8.9,16.3,0.546,0.545,3.8,4.8,0.791,2.8,4.5,7.4,3.5,1.3,0.9,2.4,2.2,21.7,2686,22.0,0.585,0.007,0.29,9.0,13.7,11.4,15.1,1.7,1.4,11.5,23.9,8.0,3.5,11.5,4.4,0.7,5.1,4.8,2,0.206,18.4909090909,7.24545454545
1980,146,Eddie Jordan,PG,25,NJN,82,0,32.4,5.3,12.4,0.43,0.1,0.6,0.25,5.2,11.8,0.439,0.436,2.5,3.1,0.779,0.8,2.5,3.3,6.8,2.7,0.3,3.1,2.9,13.3,2657,14.4,0.481,0.047,0.254,2.4,8.1,5.3,29.6,3.8,0.6,18.6,20.2,0.1,4.0,4.1,-0.6,1.0,0.3,1.6,2,0.074,11.2857142857,1.25714285714
1980,153,Bernard King,SF,23,UTA,19,0,22.1,3.7,7.2,0.518,0.0,0.0,0.0,3.7,7.2,0.518,0.518,1.8,3.3,0.54,1.3,3.4,4.6,2.7,0.4,0.2,2.6,3.5,9.3,419,11.4,0.534,0.0,0.46,7.0,17.2,12.3,18.1,0.8,0.5,23.3,22.0,-0.2,0.1,0.0,-2.3,-1.7,-4.0,-0.2,2,-0.002,18.4642857143,5.37142857143
1980,156,Toby Knight,SF,24,NYK,81,0,36.4,8.3,15.6,0.529,0.0,0.0,0.0,8.3,15.6,0.53,0.529,2.6,3.2,0.808,2.5,3.6,6.1,1.9,1.4,1.1,2.0,3.7,19.1,2945,16.4,0.561,0.002,0.206,7.4,10.9,9.1,6.9,1.8,1.6,10.6,20.1,5.5,1.9,7.3,1.5,-0.5,1.0,2.2,2,0.12,14.225,3.925
1980,159,John Kuester,PG,24,IND,24,0,4.2,0.5,1.4,0.353,0.0,0.0,0.0,0.5,1.4,0.364,0.353,0.2,0.3,0.714,0.1,0.5,0.6,0.7,0.3,0.0,0.2,0.3,1.2,100,11.1,0.391,0.029,0.206,3.0,11.7,7.2,20.1,3.2,0.5,11.9,16.3,0.0,0.1,0.1,-3.9,-0.7,-4.5,-0.1,2,0.039,10.0666666667,0.666666666667
