ID,Fleet,Status,Gross_Amount,Trip_Adjusted,Promo_Code,Discount_Applied,Existing_Passenger
339919,Discount Cab,Meter Off,5,No,DC10,10,Yes
339917,Discount Cab,Meter Off,21,No,,0,Yes
339916,Discount Cab,Meter Off,28,No,,0,Yes
339915,RideShare,Meter Off,0,No,DEVILS20,8,Yes
339914,SUV,Meter Off,0,No,FREEBWIN1,22,Yes
339913,RideShare,Cancelled,0,No,,,
339912,Discount Cab,Meter Off,0,No,OLDTOWN20,16,No
339911,Discount Cab,Meter Off,19,No,FB10,10,Yes
339910,Black,Meter Off,0,No,2POINTBNYE,32,No
339909,Discount Cab,Meter Off,14,No,,0,Yes
339908,Discount Cab,Meter Off,28,No,1403119,10,Yes
339907,Discount Cab,Meter Off,19,No,,0,Yes
339906,Discount Cab,Meter Off,15,No,,0,Yes
339905,Discount Cab,Cancelled,10,No,,,
339904,Discount Cab,Unable To Match,0,No,,,
339903,Discount Cab,Meter Off,7,No,DC10,10,No
339902,RideShare,Unable To Match,0,No,,,
339901,RideShare,Meter Off,6,No,,0,Yes
339900,Discount Cab,Cancelled,0,No,,,
339899,Discount Cab,Meter Off,15,No,,0,Yes
339898,Discount Cab,Cancelled,10,No,,,
339897,Discount Cab,Meter Off,9,No,1310161,10,Yes
339896,Discount Cab,Meter Off,12,No,,0,Yes
339895,RideShare,Meter Off,36,No,,0,Yes
339894,Discount Cab,Unable To Match,0,No,,,
339893,RideShare,Unable To Match,0,No,,,
339892,Discount Cab,Unable To Match,0,No,,,
339891,Accessible Van,Meter Off,76,No,,0,Yes
339890,Discount Cab,Unable To Match,0,No,,,
339889,Discount Cab,Meter Off,17,No,,0,Yes
339888,RideShare,Meter Off,10,No,,0,Yes
339887,Discount Cab,Meter Off,14,No,,0,Yes
339886,Discount Cab,Meter Off,9,No,BIGGAME,10,Yes
339885,Discount Cab,Cancelled,0,No,,,
339884,RideShare,Unable To Match,0,No,,,
339883,Discount Cab,Cancelled,0,No,,,
339882,RideShare,Unable To Match,0,No,,,
339881,RideShare,Meter Off,16,No,,0,Yes
339880,Discount Cab,Meter Off,10,No,1407159,10,No
339879,RideShare,Unable To Match,0,No,,,
339878,Discount Cab,Meter Off,41,No,,0,Yes
339877,RideShare,Cancelled,0,No,,,
339876,Discount Cab,Unable To Match,0,No,,,
339875,Discount Cab,Unable To Match,0,No,,,
339874,RideShare,Meter Off,15,No,,0,Yes
339873,Discount Cab,Unable To Match,0,No,,,
339872,RideShare,Meter Off,9,No,1412195,10,No
339871,Discount Cab,Meter Off,20,No,FB10,10,No
339870,Discount Cab,Unable To Auth,0,No,,,
339868,Discount Cab,Unable To Auth,0,No,,,
339867,RideShare,Unable To Match,0,No,,,
339866,Discount Cab,Meter Off,18,No,,0,Yes
339865,Discount Cab,Cancelled,10,No,,,
339864,RideShare,Meter Off,19,No,,0,Yes
339863,Discount Cab,Cancelled,0,No,,,
339862,Discount Cab,Unable To Match,0,No,,,
339861,Discount Cab,Meter Off,17,No,,0,Yes
339860,Discount Cab,Meter Off,26,No,,0,Yes
339859,Discount Cab,Meter Off,22,No,,0,Yes
339858,RideShare,Unable To Match,0,No,,,
339857,Discount Cab,Meter Off,15,No,,0,Yes
339856,Discount Cab,Meter Off,28,No,HAPPY,9,Yes
339855,Discount Cab,Meter Off,20,No,,0,Yes
339854,Discount Cab,Meter Off,11,No,,0,Yes
339853,RideShare,Meter Off,26,No,EMPLOYEE,10,Yes
339852,RideShare,Meter Off,0,No,DC10,6,Yes
339851,Discount Cab,Meter Off,8,No,DC10,10,Yes
339850,Discount Cab,Cancelled,0,No,,,
339849,Discount Cab,Meter Off,11,No,,0,Yes
339848,Discount Cab,Meter Off,52,No,1009157,10,Yes
339847,Discount Cab,Cancelled,0,No,,,
339846,Discount Cab,Cancelled,0,No,,,
339845,Discount Cab,Unable To Match,0,No,,,
339844,Discount Cab,Unable To Auth,0,No,,,
339843,Discount Cab,Meter Off,24,No,,0,Yes
339842,Discount Cab,Meter Off,23,No,,0,Yes
339841,Discount Cab,Unable To Auth,0,No,,,
339840,Discount Cab,Meter Off,100,No,,0,Yes
339839,Discount Cab,Meter Off,9,No,,0,Yes
339838,Discount Cab,Meter Off,12,No,,0,Yes
339837,Discount Cab,Meter Off,31,No,,0,Yes
339836,Cab,Meter Off,0,No,2pbemployee,57,Yes
339835,Discount Cab,Meter Off,23,No,,0,Yes
339834,Discount Cab,Cancelled,0,No,,,
339833,Discount Cab,Cancelled,10,No,,,
339832,Discount Cab,Meter Off,30,No,,0,Yes
339831,Discount Cab,Unable To Auth,0,No,,,
339830,RideShare,Meter Off,23,No,,0,Yes
339829,RideShare,Meter Off,2,No,1106301,10,No
339828,Cab,Meter Off,0,No,2pbemployee,9,Yes
339827,Discount Cab,Cancelled,0,No,,,
339826,Discount Cab,Unable To Auth,0,No,,,
339825,Discount Cab,Meter Off,8,No,,0,Yes
339824,Discount Cab,Meter Off,9,No,,0,Yes
339823,Discount Cab,Meter Off,12,No,PHOENIX,10,Yes
339822,RideShare,Meter Off,8,No,,0,Yes
339821,Accessible Van,Meter Off,22,No,BIGGAME,10,No
339820,Discount Cab,Cancelled,0,No,,,
339819,Discount Cab,Unable To Auth,0,No,,,
339818,Black,Meter Off,0,No,2pbemployee,10,Yes
339817,Discount Cab,Meter Off,38,No,,0,Yes
339816,Discount Cab,Meter Off,26,No,,0,Yes
339815,Discount Cab,Meter Off,4,No,OPEN,10,Yes
339814,Discount Cab,Meter Off,18,No,,0,Yes
339813,Discount Cab,Meter Off,9,No,,0,Yes
339812,Discount Cab,Cancelled,0,No,,,
339811,Discount Cab,Cancelled,10,No,,,
339810,Discount Cab,Meter Off,30,Yes,,0,Yes
339809,Discount Cab,Unable To Match,0,No,,,
339808,RideShare,Cancelled,0,No,,,
339807,RideShare,Cancelled,0,No,,,
339806,Discount Cab,Meter Off,5,No,DC10,10,No
339805,Discount Cab,Meter Off,2,No,DC10,10,No
339804,Discount Cab,Meter Off,1,No,1401094,10,Yes
339803,Discount Cab,Meter Off,38,No,DC10,10,No
339802,Discount Cab,Meter Off,38,No,,0,Yes
339801,Discount Cab,Cancelled,0,No,,,
339799,Discount Cab,Meter Off,14,No,,0,Yes
339798,Black,Cancelled,0,No,,,
339797,Discount Cab,Meter Off,21,No,,0,Yes
339796,RideShare,Meter Off,0,No,PHOENIX,7,Yes
339795,Discount Cab,Meter Off,35,No,1109100,10,No
339794,Discount Cab,Meter Off,40,No,,0,Yes
339793,Discount Cab,Meter Off,26,No,,0,Yes
339792,Discount Cab,Meter Off,50,No,,0,Yes
339791,Discount Cab,Meter Off,19,No,,0,Yes
339790,Discount Cab,Meter Off,41,No,,0,Yes
339789,RideShare,Meter Off,0,No,DC10,9,Yes
339788,RideShare,Meter Off,38,No,,0,Yes
339787,Discount Cab,Meter Off,9,No,,0,Yes
339786,Discount Cab,Meter Off,13,No,,0,Yes
339785,RideShare,Meter Off,8,No,,0,Yes
339784,Discount Cab,Meter Off,35,No,,0,Yes
339783,Discount Cab,Meter Off,19,No,DCWEB,5,Yes
339782,Discount Cab,Meter Off,31,No,,0,Yes
339781,Discount Cab,Meter Off,0,No,PHOENIX,9,Yes
339780,Discount Cab,Meter Off,18,No,,0,Yes
339779,Accessible Van,Cancelled,0,No,,,
339778,Discount Cab,Meter Off,13,No,,0,Yes
339777,Discount Cab,Meter Off,10,No,908074,10,No
339776,Discount Cab,Meter Off,32,No,57392,10,Yes
339775,Discount Cab,Meter Off,55,No,,0,Yes
339774,Discount Cab,Meter Off,37,No,316,10,No
339773,Discount Cab,Unable To Match,0,No,,,
339772,Discount Cab,Meter Off,20,No,,0,Yes
339771,Discount Cab,Meter Off,24,No,,0,Yes
339770,Discount Cab,Unable To Match,0,No,,,
339769,Discount Cab,Meter Off,3,No,PHOENIX,10,Yes
339768,Discount Cab,Meter Off,17,No,,0,Yes
339767,Black,Meter Off,0,No,2pbemployee,20,Yes
339766,Discount Cab,Meter Off,18,No,,0,Yes
339765,RideShare,Meter Off,18,No,,0,Yes
339764,Discount Cab,Meter Off,4,No,PHOENIX,10,Yes
339763,Discount Cab,Meter Off,35,No,FB10,10,No
339762,Discount Cab,Meter Off,18,No,,0,Yes
339761,Black,Meter Off,0,No,2pbemployee,21,Yes
339760,RideShare,Meter Off,47,No,,0,Yes
339759,RideShare,Unable To Match,0,No,,,
339758,RideShare,Meter Off,31,No,,0,Yes
339757,Discount Cab,Meter Off,47,No,PHOENIX,10,Yes
339756,RideShare,Meter Off,14,No,,0,Yes
339755,Discount Cab,Cancelled,10,No,,,
