company;total_funding
intellidx;0.0
siemens medical solutions usa;8900000.0
physio-control;0.0
impact sports technologies;0.0
brainlab;7300000.0
ossur hf;0.0
depuy products;0.0
data;0.0
roche diagnostics operations;0.0
ceregene;39500000.0
phagenesis;29307140.0
convatec technologies;0.0
daio paper;400000.0
medtronic;0.0
piper medical;0.0
baxano;31200000.0
kyphon sarl;0.0
biomet manufacturing;0.0
howmedica osteonics;0.0
onset medical;0.0
depuy spine;0.0
zimmer spine;0.0
acumed;0.0
edwards lifesciences;0.0
cardiaq technologies;45434000.0
cardiosolutions;11300000.0
spinalmotion;500000.0
zimmer;0.0
tornier;0.0
otto bock healthcare;0.0
international battery;0.0
ei du pont de nemours and;0.0
hitachi metals;0.0
sci protek;12000000.0
access business group international;0.0
ecolab usa;0.0
henkel & kgaa;0.0
abbott laboratories vascular enterprises;6790000.0
sony chemical & information device;0.0
basf;0.0
bekaert advanced coatings;0.0
tango systems;0.0
cardinal cg;63925.0
solopower;379899999.0
exxonmobil chemical patents;0.0
energy catalysis;2000000.0
protech services;0.0
landmark structures i;0.0
georgia-pacific chemicals;0.0
wix filtration;58500000.0
hamworthy;0.0
hitachi global storage technologies netherlands;0.0
3m innovative properties;0.0
rhodia chimie;0.0
sabic innovative plastics ip;0.0
nanocomp oy;0.0
international automotive components group north america;0.0
aptina imaging;0.0
e i du pont de nemours and;0.0
magna closures;0.0
marchi & brevetti interprise;0.0
est analytical;0.0
emcon technologies germany augsburg;0.0
tristar products;0.0
cnt;0.0
qiagen sciences;0.0
babcock & wilcox power generation group;0.0
energy & environmental research center foundation;2000000.0
sigma-aldrich;0.0
eden energy;0.0
glaxo group;0.0
unilever home & personal care usa;0.0
lexicon pharmaceuticals;0.0
genentech;0.0
medimmune;0.0
philadelphia health and education;0.0
medigene;0.0
pfizer;0.0
novozymes;0.0
mcneil-ppc;0.0
oro agri;0.0
abbott cardiovascular systems;6790000.0
cephalon;0.0
bionovo;600000.0
pos pilot plant;0.0
dai nippon printing;0.0
georgia-pacific gypsum;0.0
world wide lines;0.0
kovio;76500100.0
mitsubishi gas chemical;0.0
saint-gobain performance plastics;0.0
basf se;0.0
sony deutschland;0.0
bayer materialscience;0.0
saint-gobain glass france;0.0
mitsubishi plastics;0.0
ge osmonics;0.0
lg display;0.0
kla-tencor;0.0
nissan motor;0.0
tel-aviv univrsity future technology development;0.0
lg chem;0.0
mitsubishi rayon;0.0
hitachi chemical;0.0
agfa graphics;0.0
quest diagnostics investments;500000.0
abbott laboratories;6790000.0
sartorius stedim biotech;0.0
siemens heathcare diagnostics;8900000.0
new york university;0.0
metabolix;31000000.0
little sioux corn processor;0.0
biomerieux;0.0
lucigen;1950000.0
verdezyne;60000000.0
philadelphia health and education d/b/c drexel university college of medicine;0.0
genzyme;0.0
mocon;0.0
isis pharmaceuticals;400000.0
immunetech;0.0
centocor;0.0
academia sinica;11017508.0
fujitsu semiconductor;0.0
solid state system;0.0
kromek;1800000.0
nxp;0.0
stats chippac;0.0
intel;0.0
ixys ch;0.0
sandisk 3d;0.0
cone denim;0.0
first quality nonwovens;0.0
nec;0.0
fujifilm manufacturing europe;0.0
agilent technologies;0.0
chevron usa;0.0
air liquide sante international;0.0
givaudan;0.0
regenerx biopharmaceuticals;2550000.0
galderma;0.0
adynxx;7540560.0
telik;4581250.0
glaxosmithkline;0.0
chemocentryx;80540000.0
astrazeneca publ;0.0
nissan chemical industries;0.0
astrazeneca;0.0
schering;0.0
wilex;27070000.0
standard chem & pharm;0.0
methylgene;60625730.0
renovis;0.0
resverlogix;60741995.0
roche palo alto;0.0
allergan;0.0
celgene;0.0
johnson & johnson consumer companies;0.0
exxonmobil upstream research;0.0
rentech;0.0
empire technology development;0.0
ajinomoto;0.0
alcon research;0.0
theravance;129375000.0
zymogenetics;0.0
ambrx;10000000.0
xencor;21097653.0
immunogen;26000000.0
human genome sciences;0.0
bio-rad laboratories;0.0
ben gurion university of negev research and development authority;0.0
basf se ludwigshafen;0.0
pharmasset;0.0
wockhardt;0.0
neurosearch;14330000.0
sterling biotech research center;0.0
vertex pharmaceuticals;0.0
avecia biotechnology;0.0
anaspec;0.0
bayer cropscience;0.0
