company;total_funding
air new zealand;0.0
de buyer industries;0.0
robert welch designs;0.0
lowes companies;0.0
walter meier manufacturing;0.0
pepsico;0.0
graham packaing;0.0
andrew;0.0
x-rite;0.0
aerovironment;0.0
hot doc;1000000.0
valor communication;0.0
cooper technologies;0.0
canal + distribution;0.0
openpeak;186973367.0
nec display solutions;0.0
parkeon;0.0
dana industries;0.0
icon ip;85000000.0
perfect union;0.0
